environment_id,simplified_edge_id,u,v,network_length,straight_distance,circuity,source_fragment_count,source_shape_provenance
38,env38_simplified_edge_00013,env38_topology_location_0024,env38_topology_location_0030,119.71801443294311,119.41733042112686,1.0025179260895876,2,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00014,env38_topology_location_0025,env38_topology_location_0066,149.93310300631407,140.85661421664307,1.0644377890250223,6,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00015,env38_topology_location_0030,env38_topology_location_0092,228.44007725666845,210.64847214606712,1.0844611163296942,8,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00016,env38_topology_location_0030,env38_topology_location_0085,185.37170785461072,177.97380472696227,1.0415673707655906,5,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00017,env38_topology_location_0040,env38_topology_location_0042,62.19901125966523,60.58891883207353,1.0265740412377085,2,"[""env38_shape_4330855546755831596"",""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00018,env38_topology_location_0040,env38_topology_location_0046,36.35490032886818,36.234209450857364,1.0033308544560495,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00019,env38_topology_location_0040,env38_topology_location_0051,34.3740762925391,34.37407629254339,0.9999999999998751,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00020,env38_topology_location_0041,env38_topology_location_0042,0.01877981148047633,0.01877981148048926,0.9999999999993114,1,"[""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00021,env38_topology_location_0042,env38_topology_location_0059,39.77863055579262,39.750002653542104,1.0007201987506775,2,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00022,env38_topology_location_0042,env38_topology_location_0066,73.81302605041621,71.8408660363249,1.0274517850758387,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00023,env38_topology_location_0045,env38_topology_location_0046,0.8900414912740825,0.8900414912741077,0.9999999999999717,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00024,env38_topology_location_0046,env38_topology_location_0057,27.549426901883354,27.549426901880118,1.0000000000001175,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00025,env38_topology_location_0046,env38_topology_location_0073,94.29029901007382,90.53910548092401,1.0414317493996024,1,"[""env38_shape_4330855546755831596""]"
38,env38_simplified_edge_00026,env38_topology_location_0051,env38_topology_location_0054,2.079230137340751,1.6724082775602294,1.2432551101540879,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
